run_name,timestamp,method,task,dr,early_cos_mean,early_cos_min,early_cos_delta,early_neg_cos_frac,early_align_mean,early_align_min,early_align_delta,final_acc,final_loss,final_f1
mrpc_hetero_fedavg,2026-04-02_16-38-51,fedavg,mrpc,,0.0552622457034885,-0.0597408078610897,-0.2914588265120983,0.6666666666666666,0.5272570053736368,0.4451001584529876,-0.2042813599109649,0.7377450980392157,0.5783427480389091,
mrpc_hetero_fedavg_dr60,2026-04-03_22-43-20,fedavg,mrpc,0.6,0.0778616711807747,-0.007594162132591,0.0803242190741002,0.3333333333333333,0.5521522561709086,0.4933673739433288,0.0579058527946472,0.7279411764705882,0.5553545735630334,0.7917448405253283
mrpc_hetero_fedavg_dr70,2026-04-03_22-46-05,fedavg,mrpc,0.7,0.0437988351720074,-0.0043863751925528,-0.1162768327631056,0.3333333333333333,0.5265634258588155,0.492723286151886,-0.0846564769744873,0.7230392156862745,0.5620120693655575,0.8
mrpc_hetero_fedavg_dr80,2026-04-03_22-49-00,fedavg,mrpc,0.8,0.0501926510284344,-0.0388414114713668,-0.2449042499065399,0.6666666666666666,0.5254556834697723,0.4637066721916199,-0.1708334684371948,0.7254901960784313,0.5549528966931736,0.8233438485804416
mrpc_hetero_fedavg_dr90,2026-04-03_22-51-55,fedavg,mrpc,0.9,0.0560650434345006,-0.0737829282879829,-0.3333929553627968,0.6666666666666666,0.5270188053448995,0.4360650479793548,-0.2291806638240814,0.7034313725490197,0.6099380728076486,0.7803992740471869
mrpc_hetero_fedavg_dr90_1,2026-04-03_23-30-13,fedavg,mrpc,0.9,0.0370702277868986,-0.0195508953183889,0.0433224942535162,0.3333333333333333,0.4992766479651133,0.4510456025600433,0.0417273938655853,0.6838235294117647,0.6558082956893772,0.8122270742358079
mrpc_hetero_fedavg_dr90_2,2026-04-03_23-31-30,fedavg,mrpc,0.9,0.0692720611890157,-0.0016722977161407,-0.198182612657547,0.3333333333333333,0.5299626390139262,0.4759426116943359,-0.1222607493400573,0.4411764705882353,0.7801241056591857,0.3666666666666666
mrpc_hetero_fedavg_dr90_3,2026-04-03_23-33-05,fedavg,mrpc,0.9,0.0708394994338353,-0.0384286902844905,-0.2354975007474422,0.3333333333333333,0.5399330059687296,0.4619497060775757,-0.1634669303894043,0.6911764705882353,0.735667430302676,0.8157894736842105
mrpc_hetero_fedavg_dr90_lr1e4,2026-04-07_13-54-06,fedavg,mrpc,0.9,0.2603056480487187,0.2160398215055465,-0.0913449674844741,0.0,0.6667271852493286,0.6415970921516418,-0.0513549447059631,0.4534313725490196,0.7351767549327776,0.4084880636604774
mrpc_hetero_fedavg_seed_1,2026-04-02_16-54-12,fedavg,mrpc,,-0.0095039162940035,-0.0574066340923309,0.0536507021170109,0.6666666666666666,0.4670215149720509,0.421371191740036,0.0577190816402435,0.6985294117647058,0.6484402701550839,
mrpc_hetero_fedavg_seed_2,2026-04-02_16-57-00,fedavg,mrpc,,0.0467875016232331,-0.0178788807243108,-0.145663296803832,0.3333333333333333,0.5175034403800964,0.4811185598373413,-0.0940718650817871,0.5098039215686274,0.7151250780797472,
mrpc_hetero_fedavg_seed_3,2026-04-02_16-59-53,fedavg,mrpc,,0.0246907758216063,-0.0622840337455272,-0.1839455179870128,0.3333333333333333,0.5064599613348643,0.4429283440113067,-0.1327706277370453,0.6911764705882353,0.6752306146948945,
mrpc_hetero_fedgeo_v5,2026-04-02_17-26-30,fedgeo,mrpc,,0.0488366211454073,-0.0658077076077461,-0.2975257262587547,0.6666666666666666,0.522357294956843,0.4400748014450073,-0.2093067169189453,0.7352941176470589,0.5806583569330328,
