task,feature,n,median_threshold,threshold_prediction_accuracy,good_mean,bad_mean,direction
mrpc,early_cos_mean,31,0.0501926510284344,0.45161290322580644,0.053090795776739245,0.10098825265777117,lower_is_worse
mrpc,early_neg_cos_frac,31,0.3333333333333333,0.3870967741935484,0.46376811594202894,0.16666666666666666,higher_is_worse
mrpc,early_align_mean,31,0.5237437585989634,0.5161290322580645,0.5149231194585993,0.4918377834061781,lower_is_worse
sst2,early_cos_mean,48,0.1532634596029917,0.5625,0.16453588774075376,0.15838019563957592,lower_is_worse
sst2,early_neg_cos_frac,48,0.0,0.7708333333333334,0.0,0.0,higher_is_worse
sst2,early_align_mean,48,0.6007811029752096,0.625,0.5889484651453859,0.5523191871065083,lower_is_worse
