run_name,timestamp,method,task,dr,early_cos_mean,early_cos_min,early_cos_delta,early_neg_cos_frac,early_align_mean,early_align_min,early_align_delta,final_acc,final_loss,final_f1
mrpc_hetero_fedavg,2026-04-02_16-38-51,fedavg,mrpc,,0.05526224570348859,-0.059740807861089706,-0.2914588265120983,0.6666666666666666,0.5272570053736368,0.44510015845298767,-0.20428135991096497,0.7377450980392157,0.5783427480389091,
mrpc_hetero_fedavg_dr60,2026-04-03_22-43-20,fedavg,mrpc,0.6,0.07786167118077476,-0.007594162132591009,0.08032421907410026,0.3333333333333333,0.5521522561709086,0.49336737394332886,0.05790585279464722,0.7279411764705882,0.5553545735630334,0.7917448405253283
mrpc_hetero_fedavg_dr70,2026-04-03_22-46-05,fedavg,mrpc,0.7,0.04379883517200748,-0.004386375192552805,-0.11627683276310563,0.3333333333333333,0.5265634258588155,0.492723286151886,-0.0846564769744873,0.7230392156862745,0.5620120693655575,0.8
mrpc_hetero_fedavg_dr80,2026-04-03_22-49-00,fedavg,mrpc,0.8,0.05019265102843443,-0.03884141147136688,-0.24490424990653992,0.6666666666666666,0.5254556834697723,0.4637066721916199,-0.17083346843719482,0.7254901960784313,0.5549528966931736,0.8233438485804416
mrpc_hetero_fedavg_dr90,2026-04-03_22-51-55,fedavg,mrpc,0.9,0.056065043434500694,-0.07378292828798294,-0.3333929553627968,0.6666666666666666,0.5270188053448995,0.43606504797935486,-0.22918066382408142,0.7034313725490197,0.6099380728076486,0.7803992740471869
mrpc_hetero_fedavg_dr90_1,2026-04-03_23-30-13,fedavg,mrpc,0.9,0.03707022778689861,-0.01955089531838894,0.0433224942535162,0.3333333333333333,0.49927664796511334,0.45104560256004333,0.04172739386558533,0.6838235294117647,0.6558082956893772,0.8122270742358079
mrpc_hetero_fedavg_dr90_2,2026-04-03_23-31-30,fedavg,mrpc,0.9,0.0692720611890157,-0.001672297716140747,-0.198182612657547,0.3333333333333333,0.5299626390139262,0.47594261169433594,-0.12226074934005737,0.4411764705882353,0.7801241056591857,0.36666666666666664
mrpc_hetero_fedavg_dr90_3,2026-04-03_23-33-05,fedavg,mrpc,0.9,0.07083949943383534,-0.038428690284490585,-0.23549750074744225,0.3333333333333333,0.5399330059687296,0.4619497060775757,-0.1634669303894043,0.6911764705882353,0.735667430302676,0.8157894736842105
mrpc_hetero_fedavg_dr90_lr1e4,2026-04-07_13-54-06,fedavg,mrpc,0.9,0.26030564804871875,0.21603982150554657,-0.09134496748447418,0.0,0.6667271852493286,0.6415970921516418,-0.051354944705963135,0.4534313725490196,0.7351767549327776,0.40848806366047746
mrpc_hetero_fedavg_seed_1,2026-04-02_16-54-12,fedavg,mrpc,,-0.009503916294003526,-0.05740663409233093,0.05365070211701095,0.6666666666666666,0.46702151497205097,0.421371191740036,0.05771908164024353,0.6985294117647058,0.6484402701550839,
mrpc_hetero_fedavg_seed_2,2026-04-02_16-57-00,fedavg,mrpc,,0.04678750162323316,-0.017878880724310875,-0.14566329680383205,0.3333333333333333,0.5175034403800964,0.4811185598373413,-0.09407186508178711,0.5098039215686274,0.7151250780797472,
mrpc_hetero_fedavg_seed_3,2026-04-02_16-59-53,fedavg,mrpc,,0.02469077582160632,-0.06228403374552727,-0.18394551798701286,0.3333333333333333,0.5064599613348643,0.44292834401130676,-0.1327706277370453,0.6911764705882353,0.6752306146948945,
mrpc_hetero_fedgeo_v4,2026-04-02_16-42-07,fedgeo,mrpc,,0.032680404682954155,-0.08225709944963455,-0.31397511810064316,0.6666666666666666,0.5091882844765981,0.42553621530532837,-0.22384530305862427,0.7352941176470589,0.5848886610246172,
